entry,at,order
"""ElitenessPhil @ j2MPOsr78j"" folds",2021-08-30T02:10:13.879Z,163028941387900
"""alsoben @ 45sBk0_K8w"" posts a big blind of 0.10",2021-08-30T02:05:06.887Z,163028910688707
"""Jumbo @ eTmzZ-mj1K"" posts a small blind of 0.05",2021-08-30T02:05:06.887Z,163028910688706
"Your hand is 8♥, 5♣",2021-08-30T02:05:06.887Z,163028910688702
"Player stacks: #1 ""ben @ li0n-OAYVm"" (24.31) | #5 ""Jumbo @ eTmzZ-mj1K"" (13.83) | #6 ""alsoben @ 45sBk0_K8w"" (13.89) | #9 ""ElitenessPhil @ j2MPOsr78j"" (13.13)",2021-08-30T02:05:06.887Z,163028910688701
"-- starting hand #73  (No Limit Texas Hold'em) (dealer: ""ben @ li0n-OAYVm"") --",2021-08-30T02:05:06.887Z,163028910688700
"""Jumbo @ eTmzZ-mj1K"" shows a J♦, K♦.",2021-08-30T02:04:17.098Z,163028905709800
"""ElitenessPhil @ j2MPOsr78j"" shows a J♣, 6♠.",2021-08-30T02:04:16.466Z,163028905646600
"""ben @ li0n-OAYVm"" shows a Q♥, 7♦.",2021-08-30T02:04:15.059Z,163028905505900
"""alsoben @ 45sBk0_K8w"" shows a J♥, 2♠.",2021-08-30T02:04:14.820Z,163028905482000
"-- ending hand #72 --",2021-08-30T02:04:06.499Z,163028904649902
"""ElitenessPhil @ j2MPOsr78j"" collected 2.40 from pot",2021-08-30T02:04:06.499Z,163028904649901
"Uncalled bet of 0.94 returned to ""ElitenessPhil @ j2MPOsr78j""",2021-08-30T02:04:06.499Z,163028904649900
"""ben @ li0n-OAYVm"" folds",2021-08-30T02:04:05.693Z,163028904569300
"""ElitenessPhil @ j2MPOsr78j"" bets 0.94",2021-08-30T02:03:59.458Z,163028903945800
"""ben @ li0n-OAYVm"" checks",2021-08-30T02:03:54.109Z,163028903410900
"Turn: 3♥, 6♣, 9♣ [J♠]",2021-08-30T02:03:42.399Z,163028902239900
"""ElitenessPhil @ j2MPOsr78j"" calls 0.72",2021-08-30T02:03:41.558Z,163028902155800
"""Jumbo @ eTmzZ-mj1K"" folds",2021-08-30T02:03:40.074Z,163028902007400
"""ben @ li0n-OAYVm"" bets 0.72",2021-08-30T02:03:38.835Z,163028901883500
"Flop:  [3♥, 6♣, 9♣]",2021-08-30T02:03:32.945Z,163028901294500
"""ElitenessPhil @ j2MPOsr78j"" calls 0.32",2021-08-30T02:03:32.108Z,163028901210800
"""Jumbo @ eTmzZ-mj1K"" calls 0.32",2021-08-30T02:03:29.583Z,163028900958300
"""ben @ li0n-OAYVm"" raises to 0.32",2021-08-30T02:03:27.387Z,163028900738700
