entry,at,order
"""player1 @ li0n-OAYVm"" posts a big blind of 20",2021-09-08T21:38:04.905Z,163113708490505
"""player2 @ jyXAN0EtRT"" posts a small blind of 10",2021-09-08T21:38:04.905Z,163113708490504
"Your hand is 3♥, A♠",2021-09-08T21:38:04.905Z,163113708490502
"Player stacks: #1 ""player1 @ li0n-OAYVm"" (1000) | #10 ""player2 @ jyXAN0EtRT"" (2000)",2021-09-08T21:38:04.905Z,163113708490501
"-- starting hand #4  (No Limit Texas Hold'em) (dealer: ""player2 @ jyXAN0EtRT"") --",2021-09-08T21:38:04.905Z,163113708490500
"-- ending hand #3 --",2021-09-08T21:37:56.862Z,163113707686202
"""player2 @ jyXAN0EtRT"" collected 1000 from pot with Flush, Ah High on the second run  (combination: A♥, 9♥, 8♥, 7♥, 5♥)",2021-09-08T21:37:56.862Z,163113707686201
"""player1 @ li0n-OAYVm"" collected 1000 from pot with Two Pair, K's & 2's (combination: K♣, K♦, 2♣, 2♥, 10♥)",2021-09-08T21:37:56.862Z,163113707686200
"River (second run): 3♣, A♠, 8♥, 7♥ [A♥]",2021-09-08T21:37:52.848Z,163113707284800
"Turn (second run): 3♣, A♠, 8♥ [7♥]",2021-09-08T21:37:48.832Z,163113706883200
"Flop (second run):  [3♣, A♠, 8♥]",2021-09-08T21:37:44.802Z,163113706480200
"River: 2♥, K♦, 10♥, 3♦ [5♠]",2021-09-08T21:37:40.786Z,163113706078600
"Turn: 2♥, K♦, 10♥ [3♦]",2021-09-08T21:37:36.764Z,163113705676400
"Flop:  [2♥, K♦, 10♥]",2021-09-08T21:37:32.722Z,163113705272200
"""player2 @ jyXAN0EtRT"" shows a 5♥, 9♥.",2021-09-08T21:37:28.687Z,163113704868701
"""player1 @ li0n-OAYVm"" shows a 2♣, K♣.",2021-09-08T21:37:28.687Z,163113704868700
"All players in hand choose to run it twice.",2021-09-08T21:37:27.881Z,163113704788101
"""player2 @ jyXAN0EtRT"" chooses to  run it twice.",2021-09-08T21:37:27.881Z,163113704788100
"""player1 @ li0n-OAYVm"" chooses to  run it twice.",2021-09-08T21:37:26.073Z,163113704607300
"Remaining players decide whether to run it twice.",2021-09-08T21:37:26.035Z,163113704603501
"""player1 @ li0n-OAYVm"" calls 1000 and go all in",2021-09-08T21:37:26.035Z,163113704603500
"""player2 @ jyXAN0EtRT"" raises to 1000 and go all in",2021-09-08T21:37:23.911Z,163113704391100
"""player1 @ li0n-OAYVm"" raises to 450",2021-09-08T21:37:18.922Z,163113703892200
"""player2 @ jyXAN0EtRT"" raises to 150",2021-09-08T21:37:15.904Z,163113703590400
"""player1 @ li0n-OAYVm"" raises to 50",2021-09-08T21:37:12.423Z,163113703242300
"""player2 @ jyXAN0EtRT"" posts a big blind of 20",2021-09-08T21:37:05.952Z,163113702595205
"""player1 @ li0n-OAYVm"" posts a small blind of 10",2021-09-08T21:37:05.952Z,163113702595204
"Your hand is 2♣, K♣",2021-09-08T21:37:05.952Z,163113702595202
"Player stacks: #1 ""player1 @ li0n-OAYVm"" (1000) | #10 ""player2 @ jyXAN0EtRT"" (2000)",2021-09-08T21:37:05.952Z,163113702595201
"-- starting hand #3  (No Limit Texas Hold'em) (dealer: ""player1 @ li0n-OAYVm"") --",2021-09-08T21:37:05.952Z,163113702595200
"-- ending hand #2 --",2021-09-08T21:36:57.939Z,163113701793902
"""player2 @ jyXAN0EtRT"" collected 1000 from pot with Two Pair, 9's & 8's on the second run  (combination: 9♣, 9♥, 8♣, 8♦, Q♦)",2021-09-08T21:36:57.939Z,163113701793901
"""player1 @ li0n-OAYVm"" collected 1000 from pot with Pair, A's (combination: A♦, A♠, K♥, Q♥, J♥)",2021-09-08T21:36:57.939Z,163113701793900
"River (second run): 6♣, 9♣, 9♥, 8♦ [2♥]",2021-09-08T21:36:53.908Z,163113701390800
"Turn (second run): 6♣, 9♣, 9♥ [8♦]",2021-09-08T21:36:49.889Z,163113700988900
"Flop (second run):  [6♣, 9♣, 9♥]",2021-09-08T21:36:45.856Z,163113700585600
"River: K♥, 6♠, A♠, 5♠ [Q♥]",2021-09-08T21:36:41.837Z,163113700183700
"Turn: K♥, 6♠, A♠ [5♠]",2021-09-08T21:36:37.818Z,163113699781800
"Flop:  [K♥, 6♠, A♠]",2021-09-08T21:36:33.764Z,163113699376400
"""player2 @ jyXAN0EtRT"" shows a 8♣, Q♦.",2021-09-08T21:36:29.732Z,163113698973201
"""player1 @ li0n-OAYVm"" shows a A♦, J♥.",2021-09-08T21:36:29.732Z,163113698973200
"All players in hand choose to run it twice.",2021-09-08T21:36:28.925Z,163113698892501
"""player2 @ jyXAN0EtRT"" chooses to  run it twice.",2021-09-08T21:36:28.925Z,163113698892500
"""player1 @ li0n-OAYVm"" chooses to  run it twice.",2021-09-08T21:36:26.126Z,163113698612600
"Remaining players decide whether to run it twice.",2021-09-08T21:36:26.090Z,163113698609001
"""player1 @ li0n-OAYVm"" calls 1000 and go all in",2021-09-08T21:36:26.090Z,163113698609000
"""player2 @ jyXAN0EtRT"" raises to 1000 and go all in",2021-09-08T21:36:23.384Z,163113698338400
"""player1 @ li0n-OAYVm"" posts a big blind of 20",2021-09-08T21:36:18.692Z,163113697869207
"""player2 @ jyXAN0EtRT"" posts a small blind of 10",2021-09-08T21:36:18.692Z,163113697869206
"Your hand is A♦, J♥",2021-09-08T21:36:18.692Z,163113697869204
"Player stacks: #1 ""player1 @ li0n-OAYVm"" (1000) | #10 ""player2 @ jyXAN0EtRT"" (2000)",2021-09-08T21:36:18.692Z,163113697869203
"The player ""player2 @ jyXAN0EtRT"" joined the game with a stack of 2000.",2021-09-08T21:36:18.692Z,163113697869202
"The player ""player1 @ li0n-OAYVm"" joined the game with a stack of 1000.",2021-09-08T21:36:18.692Z,163113697869201
"-- starting hand #2  (No Limit Texas Hold'em) (dealer: ""player2 @ jyXAN0EtRT"") --",2021-09-08T21:36:18.692Z,163113697869200
"The admin approved the player ""player1 @ li0n-OAYVm"" participation with a stack of 1000.",2021-09-08T21:36:16.652Z,163113697665201
"The player ""player1 @ li0n-OAYVm"" requested a seat.",2021-09-08T21:36:16.652Z,163113697665200
"The player ""player1 @ li0n-OAYVm"" quits the game with a stack of 0.",2021-09-08T21:36:09.556Z,163113696955600
"-- ending hand #1 --",2021-09-08T21:36:03.545Z,163113696354501
"""player2 @ jyXAN0EtRT"" collected 2000 from pot with Pair, A's (combination: A♥, A♣, 9♠, 8♠, 5♠)",2021-09-08T21:36:03.545Z,163113696354500
"River: 8♠, 2♥, 9♠, 5♠ [A♣]",2021-09-08T21:35:59.523Z,163113695952300
"Turn: 8♠, 2♥, 9♠ [5♠]",2021-09-08T21:35:55.512Z,163113695551200
"Flop:  [8♠, 2♥, 9♠]",2021-09-08T21:35:51.463Z,163113695146300
"""player2 @ jyXAN0EtRT"" shows a 3♥, A♥.",2021-09-08T21:35:47.414Z,163113694741401
"""player1 @ li0n-OAYVm"" shows a 2♠, Q♣.",2021-09-08T21:35:47.414Z,163113694741400
"""player1 @ li0n-OAYVm"" calls 1000 and go all in",2021-09-08T21:35:46.606Z,163113694660600
"""player2 @ jyXAN0EtRT"" raises to 1000 and go all in",2021-09-08T21:35:44.210Z,163113694421000
"""player1 @ li0n-OAYVm"" raises to 200",2021-09-08T21:35:40.651Z,163113694065100
"""player2 @ jyXAN0EtRT"" raises to 80",2021-09-08T21:35:32.247Z,163113693224700
"""player1 @ li0n-OAYVm"" posts a big blind of 20",2021-09-08T21:35:23.285Z,163113692328507
"""player2 @ jyXAN0EtRT"" posts a small blind of 10",2021-09-08T21:35:23.285Z,163113692328506
"Your hand is 2♠, Q♣",2021-09-08T21:35:23.285Z,163113692328504
"Player stacks: #1 ""player1 @ li0n-OAYVm"" (1000) | #10 ""player2 @ jyXAN0EtRT"" (1000)",2021-09-08T21:35:23.285Z,163113692328503
"The player ""player2 @ jyXAN0EtRT"" joined the game with a stack of 1000.",2021-09-08T21:35:23.285Z,163113692328502
"The player ""player1 @ li0n-OAYVm"" joined the game with a stack of 1000.",2021-09-08T21:35:23.285Z,163113692328501
"-- starting hand #1  (No Limit Texas Hold'em) (dealer: ""player2 @ jyXAN0EtRT"") --",2021-09-08T21:35:23.285Z,163113692328500
"The admin approved the player ""player2 @ jyXAN0EtRT"" participation with a stack of 1000.",2021-09-08T21:35:17.063Z,163113691706300
"The player ""player2 @ jyXAN0EtRT"" requested a seat.",2021-09-08T21:35:12.117Z,163113691211700
"The admin approved the player ""player1 @ li0n-OAYVm"" participation with a stack of 1000.",2021-09-08T21:34:42.797Z,163113688279701
