entry,at,order
"The player ""Krish @ OeCVf-b8_0"" passed the room ownership to ""moosh @ BbPu85ru25"".",2021-08-06T20:35:52.905Z,162828215290500
"The player ""sneakers @ P4t9Uuig11"" stand up with the stack of 355.50.",2021-08-06T20:03:28.278Z,162828020827800
"The player ""juju @ cS-GAqQgSO"" quits the game with a stack of 0.00.",2021-08-06T20:03:28.041Z,162828020804100
"""ZayZay @ 6qGmhA5z2u"" shows a A♥, 3♥.",2021-08-06T20:03:25.932Z,162828020593200
"""moosh @ BbPu85ru25"" shows a 4♦, Q♥.",2021-08-06T20:03:23.153Z,162828020315300
"""bubbles @ rYQPN15HQa"" shows a Q♠, 6♥.",2021-08-06T20:03:21.701Z,162828020170100
"-- ending hand #209 --",2021-08-06T20:03:20.491Z,162828020049101
"""fry @ 50zmWBkrSR"" collected 263.00 from pot with Pair, J's (combination: J♥, J♠, K♥, 10♠, 9♦)",2021-08-06T20:03:20.491Z,162828020049100
"River: J♠, 2♥, 8♣, 9♦ [10♠]",2021-08-06T20:03:16.462Z,162828019646200
"""fry @ 50zmWBkrSR"" shows a J♥, K♥.",2021-08-06T20:03:12.411Z,162828019241101
"""juju @ cS-GAqQgSO"" shows a J♣, 3♣.",2021-08-06T20:03:12.411Z,162828019241100
"Some players choose to not run it twice.",2021-08-06T20:03:11.595Z,162828019159501
"""fry @ 50zmWBkrSR"" chooses to not run it twice.",2021-08-06T20:03:11.595Z,162828019159500
"""juju @ cS-GAqQgSO"" chooses to  run it twice.",2021-08-06T20:03:10.714Z,162828019071400
"Remaining players decide whether to run it twice.",2021-08-06T20:03:09.307Z,162828018930701
"""juju @ cS-GAqQgSO"" calls 93.00 and go all in",2021-08-06T20:03:09.307Z,162828018930700
"""fry @ 50zmWBkrSR"" bets 93.00 and go all in",2021-08-06T20:03:05.558Z,162828018555800
"""juju @ cS-GAqQgSO"" checks",2021-08-06T20:02:56.486Z,162828017648600
"Turn: J♠, 2♥, 8♣ [9♦]",2021-08-06T20:02:48.444Z,162828016844400
"""sneakers @ P4t9Uuig11"" folds",2021-08-06T20:02:47.636Z,162828016763600
"""ZayZay @ 6qGmhA5z2u"" folds",2021-08-06T20:02:46.520Z,162828016652000
"""Ayherk @ lYOja9mEqC"" folds",2021-08-06T20:02:32.531Z,162828015253100
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T20:02:31.127Z,162828015112700
"""moosh @ BbPu85ru25"" folds",2021-08-06T20:02:30.256Z,162828015025600
"""fry @ 50zmWBkrSR"" calls 20.00",2021-08-06T20:02:29.166Z,162828014916600
"""juju @ cS-GAqQgSO"" bets 20.00",2021-08-06T20:02:27.425Z,162828014742500
"""sneakers @ P4t9Uuig11"" checks",2021-08-06T20:02:11.912Z,162828013191200
"""ZayZay @ 6qGmhA5z2u"" checks",2021-08-06T20:02:07.205Z,162828012720500
"The admin ""Krish @ OeCVf-b8_0"" enqueued the game stop on next hand.",2021-08-06T20:02:02.044Z,162828012204400
"""Ayherk @ lYOja9mEqC"" checks",2021-08-06T20:01:57.021Z,162828011702100
"""bubbles @ rYQPN15HQa"" checks",2021-08-06T20:01:55.505Z,162828011550500
"Flop:  [J♠, 2♥, 8♣]",2021-08-06T20:01:51.234Z,162828011123400
"""WyzDM @ hZZiY4wb9J"" folds",2021-08-06T20:01:50.428Z,162828011042800
"""bubbles @ rYQPN15HQa"" calls 5.00",2021-08-06T20:01:49.569Z,162828010956900
"""moosh @ BbPu85ru25"" calls 5.00",2021-08-06T20:01:48.684Z,162828010868400
"""fry @ 50zmWBkrSR"" calls 5.00",2021-08-06T20:01:47.437Z,162828010743700
"""juju @ cS-GAqQgSO"" calls 5.00",2021-08-06T20:01:46.346Z,162828010634600
"""sneakers @ P4t9Uuig11"" calls 5.00",2021-08-06T20:01:45.325Z,162828010532500
"""ZayZay @ 6qGmhA5z2u"" calls 5.00",2021-08-06T20:01:44.387Z,162828010438700
"""Ayherk @ lYOja9mEqC"" raises to 5.00",2021-08-06T20:01:42.118Z,162828010211800
"""WyzDM @ hZZiY4wb9J"" posts a big blind of 2.00",2021-08-06T20:01:37.894Z,162828009789411
"""bubbles @ rYQPN15HQa"" posts a small blind of 1.00",2021-08-06T20:01:37.894Z,162828009789410
"Player stacks: #1 ""WyzDM @ hZZiY4wb9J"" (185.00) | #3 ""Ayherk @ lYOja9mEqC"" (313.25) | #4 ""ZayZay @ 6qGmhA5z2u"" (464.75) | #6 ""sneakers @ P4t9Uuig11"" (360.50) | #7 ""juju @ cS-GAqQgSO"" (118.00) | #8 ""fry @ 50zmWBkrSR"" (764.50) | #9 ""moosh @ BbPu85ru25"" (269.00) | #10 ""bubbles @ rYQPN15HQa"" (849.50)",2021-08-06T20:01:37.894Z,162828009789401
"-- starting hand #209  (No Limit Texas Hold'em) (dealer: ""moosh @ BbPu85ru25"") --",2021-08-06T20:01:37.894Z,162828009789400
"-- ending hand #208 --",2021-08-06T20:01:20.253Z,162828008025302
"""ZayZay @ 6qGmhA5z2u"" collected 78.00 from pot",2021-08-06T20:01:20.253Z,162828008025301
"Uncalled bet of 52.50 returned to ""ZayZay @ 6qGmhA5z2u""",2021-08-06T20:01:20.253Z,162828008025300
"""sneakers @ P4t9Uuig11"" folds",2021-08-06T20:01:19.447Z,162828007944700
"""ZayZay @ 6qGmhA5z2u"" raises to 72.00",2021-08-06T20:00:49.773Z,162828004977300
"""sneakers @ P4t9Uuig11"" bets 19.50",2021-08-06T20:00:28.880Z,162828002888000
"""ZayZay @ 6qGmhA5z2u"" checks",2021-08-06T20:00:26.341Z,162828002634100
"Flop:  [7♥, 8♠, 7♠]",2021-08-06T20:00:25.150Z,162828002515000
"""ZayZay @ 6qGmhA5z2u"" calls 18.00",2021-08-06T20:00:24.341Z,162828002434100
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T20:00:08.903Z,162828000890300
"""moosh @ BbPu85ru25"" folds",2021-08-06T20:00:08.040Z,162828000804000
"""fry @ 50zmWBkrSR"" folds",2021-08-06T20:00:07.171Z,162828000717100
"""juju @ cS-GAqQgSO"" folds",2021-08-06T20:00:04.245Z,162828000424500
"""sneakers @ P4t9Uuig11"" raises to 18.00",2021-08-06T20:00:03.224Z,162828000322400
"""ZayZay @ 6qGmhA5z2u"" raises to 6.00",2021-08-06T19:59:58.613Z,162827999861300
"""Ayherk @ lYOja9mEqC"" folds",2021-08-06T19:59:54.463Z,162827999446300
"""WyzDM @ hZZiY4wb9J"" folds",2021-08-06T19:59:53.324Z,162827999332400
"""bubbles @ rYQPN15HQa"" posts a big blind of 2.00",2021-08-06T19:59:51.487Z,162827999148711
"""moosh @ BbPu85ru25"" posts a small blind of 1.00",2021-08-06T19:59:51.487Z,162827999148710
"Player stacks: #1 ""WyzDM @ hZZiY4wb9J"" (185.00) | #3 ""Ayherk @ lYOja9mEqC"" (313.25) | #4 ""ZayZay @ 6qGmhA5z2u"" (424.25) | #6 ""sneakers @ P4t9Uuig11"" (398.00) | #7 ""juju @ cS-GAqQgSO"" (118.00) | #8 ""fry @ 50zmWBkrSR"" (764.50) | #9 ""moosh @ BbPu85ru25"" (270.00) | #10 ""bubbles @ rYQPN15HQa"" (851.50)",2021-08-06T19:59:51.487Z,162827999148701
"-- starting hand #208  (No Limit Texas Hold'em) (dealer: ""fry @ 50zmWBkrSR"") --",2021-08-06T19:59:51.487Z,162827999148700
"""Ayherk @ lYOja9mEqC"" shows a Q♣, 5♣.",2021-08-06T19:59:48.947Z,162827998894700
"-- ending hand #207 --",2021-08-06T19:59:47.857Z,162827998785702
"""Ayherk @ lYOja9mEqC"" collected 115.00 from pot",2021-08-06T19:59:47.857Z,162827998785701
"Uncalled bet of 198.25 returned to ""Ayherk @ lYOja9mEqC""",2021-08-06T19:59:47.857Z,162827998785700
"""moosh @ BbPu85ru25"" folds",2021-08-06T19:59:47.047Z,162827998704700
"""Ayherk @ lYOja9mEqC"" raises to 228.25 and go all in",2021-08-06T19:59:40.311Z,162827998031100
"""moosh @ BbPu85ru25"" bets 30.00",2021-08-06T19:59:37.478Z,162827997747800
"River: K♣, Q♠, 5♥, 10♣ [8♣]",2021-08-06T19:59:25.963Z,162827996596300
"""moosh @ BbPu85ru25"" calls 20.00",2021-08-06T19:59:25.157Z,162827996515700
"""Ayherk @ lYOja9mEqC"" raises to 20.00",2021-08-06T19:59:13.160Z,162827995316000
"""moosh @ BbPu85ru25"" bets 10.00",2021-08-06T19:59:07.068Z,162827994706800
"Turn: K♣, Q♠, 5♥ [10♣]",2021-08-06T19:59:01.398Z,162827994139800
"""moosh @ BbPu85ru25"" calls 5.00",2021-08-06T19:59:00.589Z,162827994058900
"""Ayherk @ lYOja9mEqC"" bets 5.00",2021-08-06T19:58:57.969Z,162827993796900
"""moosh @ BbPu85ru25"" checks",2021-08-06T19:58:54.726Z,162827993472600
"Flop:  [K♣, Q♠, 5♥]",2021-08-06T19:58:34.709Z,162827991470900
"""moosh @ BbPu85ru25"" checks",2021-08-06T19:58:33.901Z,162827991390100
"""fry @ 50zmWBkrSR"" folds",2021-08-06T19:58:22.929Z,162827990292900
"""juju @ cS-GAqQgSO"" folds",2021-08-06T19:58:21.888Z,162827990188800
"""sneakers @ P4t9Uuig11"" folds",2021-08-06T19:58:15.932Z,162827989593200
"""ZayZay @ 6qGmhA5z2u"" folds",2021-08-06T19:58:12.141Z,162827989214100
"""Ayherk @ lYOja9mEqC"" calls 2.00",2021-08-06T19:58:11.271Z,162827989127100
"""WyzDM @ hZZiY4wb9J"" folds",2021-08-06T19:58:09.133Z,162827988913300
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T19:58:05.815Z,162827988581500
"""moosh @ BbPu85ru25"" posts a big blind of 2.00",2021-08-06T19:58:04.604Z,162827988460411
"""fry @ 50zmWBkrSR"" posts a small blind of 1.00",2021-08-06T19:58:04.604Z,162827988460410
"Player stacks: #1 ""WyzDM @ hZZiY4wb9J"" (185.00) | #3 ""Ayherk @ lYOja9mEqC"" (255.25) | #4 ""ZayZay @ 6qGmhA5z2u"" (424.25) | #6 ""sneakers @ P4t9Uuig11"" (398.00) | #7 ""juju @ cS-GAqQgSO"" (118.00) | #8 ""fry @ 50zmWBkrSR"" (765.50) | #9 ""moosh @ BbPu85ru25"" (327.00) | #10 ""bubbles @ rYQPN15HQa"" (851.50)",2021-08-06T19:58:04.604Z,162827988460401
"-- starting hand #207  (No Limit Texas Hold'em) (dealer: ""juju @ cS-GAqQgSO"") --",2021-08-06T19:58:04.604Z,162827988460400
"-- ending hand #206 --",2021-08-06T19:57:58.561Z,162827987856103
"""Ayherk @ lYOja9mEqC"" shows a 7♠, 9♠.",2021-08-06T19:57:58.561Z,162827987856102
"""ZayZay @ 6qGmhA5z2u"" collected 132.00 from pot with Two Pair, 9's & 8's (combination: 9♣, 9♥, 8♥, 8♦, A♥)",2021-08-06T19:57:58.561Z,162827987856101
"""ZayZay @ 6qGmhA5z2u"" shows a 9♣, A♥.",2021-08-06T19:57:58.561Z,162827987856100
"""ZayZay @ 6qGmhA5z2u"" checks",2021-08-06T19:57:57.754Z,162827987775400
"""Ayherk @ lYOja9mEqC"" checks",2021-08-06T19:57:55.623Z,162827987562300
"River: 4♠, 9♥, 6♥, 8♥ [8♦]",2021-08-06T19:57:51.182Z,162827987118200
"""ZayZay @ 6qGmhA5z2u"" calls 33.00",2021-08-06T19:57:50.373Z,162827987037300
"""Ayherk @ lYOja9mEqC"" bets 33.00",2021-08-06T19:57:30.038Z,162827985003800
"Turn: 4♠, 9♥, 6♥ [8♥]",2021-08-06T19:57:24.848Z,162827984484800
"""fry @ 50zmWBkrSR"" folds",2021-08-06T19:57:24.039Z,162827984403900
"""sneakers @ P4t9Uuig11"" folds",2021-08-06T19:57:22.985Z,162827984298500
"""ZayZay @ 6qGmhA5z2u"" calls 16.50",2021-08-06T19:57:21.732Z,162827984173200
"""Ayherk @ lYOja9mEqC"" bets 16.50",2021-08-06T19:57:12.780Z,162827983278000
"""fry @ 50zmWBkrSR"" checks",2021-08-06T19:57:09.412Z,162827982941200
"Flop:  [4♠, 9♥, 6♥]",2021-08-06T19:57:00.658Z,162827982065800
"""Ayherk @ lYOja9mEqC"" calls 8.00",2021-08-06T19:56:59.852Z,162827981985200
"""fry @ 50zmWBkrSR"" calls 8.00",2021-08-06T19:56:58.947Z,162827981894700
"""juju @ cS-GAqQgSO"" folds",2021-08-06T19:56:50.177Z,162827981017700
"""sneakers @ P4t9Uuig11"" calls 8.00",2021-08-06T19:56:49.227Z,162827980922700
"""ZayZay @ 6qGmhA5z2u"" raises to 8.00",2021-08-06T19:56:45.703Z,162827980570300
"""Ayherk @ lYOja9mEqC"" calls 2.00",2021-08-06T19:56:36.942Z,162827979694200
"""WyzDM @ hZZiY4wb9J"" folds",2021-08-06T19:56:35.538Z,162827979553800
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T19:56:34.686Z,162827979468600
"""moosh @ BbPu85ru25"" folds",2021-08-06T19:56:23.781Z,162827978378100
"""fry @ 50zmWBkrSR"" posts a big blind of 2.00",2021-08-06T19:56:21.913Z,162827978191311
"""juju @ cS-GAqQgSO"" posts a small blind of 1.00",2021-08-06T19:56:21.913Z,162827978191310
"Player stacks: #1 ""WyzDM @ hZZiY4wb9J"" (185.00) | #3 ""Ayherk @ lYOja9mEqC"" (312.75) | #4 ""ZayZay @ 6qGmhA5z2u"" (349.75) | #6 ""sneakers @ P4t9Uuig11"" (406.00) | #7 ""juju @ cS-GAqQgSO"" (119.00) | #8 ""fry @ 50zmWBkrSR"" (773.50) | #9 ""moosh @ BbPu85ru25"" (327.00) | #10 ""bubbles @ rYQPN15HQa"" (851.50)",2021-08-06T19:56:21.913Z,162827978191301
"-- starting hand #206  (No Limit Texas Hold'em) (dealer: ""sneakers @ P4t9Uuig11"") --",2021-08-06T19:56:21.913Z,162827978191300
"-- ending hand #205 --",2021-08-06T19:56:15.988Z,162827977598802
"""Ayherk @ lYOja9mEqC"" collected 5.00 from pot",2021-08-06T19:56:15.988Z,162827977598801
"Uncalled bet of 5.00 returned to ""Ayherk @ lYOja9mEqC""",2021-08-06T19:56:15.988Z,162827977598800
"""juju @ cS-GAqQgSO"" folds",2021-08-06T19:56:15.146Z,162827977514600
"""sneakers @ P4t9Uuig11"" folds",2021-08-06T19:56:13.940Z,162827977394000
"""ZayZay @ 6qGmhA5z2u"" folds",2021-08-06T19:56:07.563Z,162827976756300
"""Ayherk @ lYOja9mEqC"" raises to 7.00",2021-08-06T19:56:06.137Z,162827976613700
"""WyzDM @ hZZiY4wb9J"" folds",2021-08-06T19:56:03.547Z,162827976354700
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T19:56:00.486Z,162827976048600
"""moosh @ BbPu85ru25"" folds",2021-08-06T19:55:59.620Z,162827975962000
"""fry @ 50zmWBkrSR"" folds",2021-08-06T19:55:49.961Z,162827974996100
"""juju @ cS-GAqQgSO"" posts a big blind of 2.00",2021-08-06T19:55:48.487Z,162827974848711
"""sneakers @ P4t9Uuig11"" posts a small blind of 1.00",2021-08-06T19:55:48.487Z,162827974848710
