entry,at,order
"""alsoben @ 45sBk0_K8w"" collected 7.81 from pot with Pair, K's (combination: K♥, K♣, J♠, 9♠, 8♦)",2021-08-30T01:16:13.353Z,163028617335300
"River (second run): J♠, 4♦, 8♦, 3♠ [2♥]",2021-08-30T01:16:09.314Z,163028616931400
"River: J♠, 4♦, 8♦, 3♠ [9♠]",2021-08-30T01:16:05.291Z,163028616529100
"""alsoben @ 45sBk0_K8w"" shows a K♥, K♣.",2021-08-30T01:16:01.255Z,163028616125501
"""pack2loud @ dIFWqyUROl"" shows a 2♦, 6♦.",2021-08-30T01:16:01.255Z,163028616125500
"All players in hand choose to run it twice.",2021-08-30T01:16:00.444Z,163028616044401
"""alsoben @ 45sBk0_K8w"" chooses to  run it twice.",2021-08-30T01:16:00.444Z,163028616044400
"""pack2loud @ dIFWqyUROl"" chooses to  run it twice.",2021-08-30T01:15:57.757Z,163028615775700
"Remaining players decide whether to run it twice.",2021-08-30T01:15:53.394Z,163028615339401
"""pack2loud @ dIFWqyUROl"" calls 4.37",2021-08-30T01:15:53.394Z,163028615339400
"""alsoben @ 45sBk0_K8w"" bets 4.37 and go all in",2021-08-30T01:15:52.245Z,163028615224500
"""pack2loud @ dIFWqyUROl"" checks",2021-08-30T01:15:46.389Z,163028614638900
"Turn: J♠, 4♦, 8♦ [3♠]",2021-08-30T01:15:44.962Z,163028614496200
"""pack2loud @ dIFWqyUROl"" calls 2.26",2021-08-30T01:15:44.152Z,163028614415200
"""ElitenessPhil @ j2MPOsr78j"" folds",2021-08-30T01:15:36.760Z,163028613676000
"""alsoben @ 45sBk0_K8w"" raises to 2.26",2021-08-30T01:15:23.015Z,163028612301500
"""Jumbo @ eTmzZ-mj1K"" folds",2021-08-30T01:15:20.181Z,163028612018100
"""pack2loud @ dIFWqyUROl"" calls 0.20",2021-08-30T01:15:18.417Z,163028611841700
"""ben @ li0n-OAYVm"" folds",2021-08-30T01:15:14.560Z,163028611456000
"""ElitenessPhil @ j2MPOsr78j"" bets 0.20",2021-08-30T01:14:58.193Z,163028609819300
"Flop:  [J♠, 4♦, 8♦]",2021-08-30T01:14:51.831Z,163028609183100
"""Jumbo @ eTmzZ-mj1K"" calls 0.43",2021-08-30T01:14:51.020Z,163028609102000
